club_name,canonical_name,league_name,city,state,source_url
Oregon Premier,Oregon Premier,Girls Academy,West Linn,OR,https://girlsacademyleague.com/members/
Seattle Celtic,Seattle Celtic,Girls Academy,Seattle,WA,https://girlsacademyleague.com/members/
Seattle Reign Academy,Seattle Reign Academy,Girls Academy,Tacoma,WA,https://girlsacademyleague.com/members/
Spokane Shadow,Spokane Shadow,Girls Academy,Spokane,WA,https://girlsacademyleague.com/members/
United PDX,Pdx,Girls Academy,Portland,OR,https://girlsacademyleague.com/members/
Washington East Surf SC,Washington East Surf,Girls Academy,Spokane,WA,https://girlsacademyleague.com/members/
Washington Rush,Washington Rush,Girls Academy,Everett,WA,https://girlsacademyleague.com/members/
Western Washington Surf,Western Washington Surf,Girls Academy,Bellevue,WA,https://girlsacademyleague.com/members/
Westside Metros,Westside Metros,Girls Academy,Beaverton,OR,https://girlsacademyleague.com/members/
Florida United,Florida,Girls Academy,Miramar,FL,https://girlsacademyleague.com/members/
Hoover- Vestavia Soccer,Hoover- Vestavia,Girls Academy,Birmingham,AL,https://girlsacademyleague.com/members/
IMG Academy,Img Academy,Girls Academy,Bradenton,FL,https://girlsacademyleague.com/members/
Palm Beach United,Palm Beach,Girls Academy,Palm Beach Gardens,FL,https://girlsacademyleague.com/members/
Pinecrest Premier,Pinecrest Premier,Girls Academy,Miami,FL,https://girlsacademyleague.com/members/
Southern Soccer Academy,Southern Academy,Girls Academy,Marietta,GA,https://girlsacademyleague.com/members/
Space Coast United SC,Space Coast,Girls Academy,Melbourne,FL,https://girlsacademyleague.com/members/
Tophat Gold,Tophat Gold,Girls Academy,Marietta,GA,https://girlsacademyleague.com/members/
Tophat Navy,Tophat Navy,Girls Academy,Marietta,GA,https://girlsacademyleague.com/members/
West Florida Flames,West Florida Flames,Girls Academy,Apollo Beach,FL,https://girlsacademyleague.com/members/
Albion SC San Diego,Albion San Diego,Girls Academy,San Diego,CA,https://girlsacademyleague.com/members/
City SC White,White,Girls Academy,Carlsbad,CA,https://girlsacademyleague.com/members/
FC Tucson,Tucson,Girls Academy,Tucson,AZ,https://girlsacademyleague.com/members/
FRAM Soccer Club,Fram,Girls Academy,Torrance,CA,https://girlsacademyleague.com/members/
LA Surf SC,La Surf,Girls Academy,Pasadena,CA,https://girlsacademyleague.com/members/
SoCal Reds FC,Socal Reds,Girls Academy,Irvine,CA,https://girlsacademyleague.com/members/
City SC Southwest,Southwest,Girls Academy,Temecula,CA,https://girlsacademyleague.com/members/
Rangers FC,Rangers,Girls Academy,Fullerton,CA,https://girlsacademyleague.com/members/
SC del Sol,Del Sol,Girls Academy,Phoenix,AZ,https://girlsacademyleague.com/members/
SDSC Surf,Sdsc Surf,Girls Academy,San Diego,CA,https://girlsacademyleague.com/members/
West Coast FC,West Coast,Girls Academy,Irvine,CA,https://girlsacademyleague.com/members/
Follow,Follow,Girls Academy,,,https://girlsacademyleague.com/members/
ALBION SC San Diego,Albion San Diego,GA Aspire,San Diego,CA,https://girlsacademyleague.com/aspire-membership/
City SC,,GA Aspire,Carlsbad,CA,https://girlsacademyleague.com/aspire-membership/
FRAM SC,Fram,GA Aspire,Torrance,CA,https://girlsacademyleague.com/aspire-membership/
LA Surf SC,La Surf,GA Aspire,Pasadena,CA,https://girlsacademyleague.com/aspire-membership/
SDSC Surf,Sdsc Surf,GA Aspire,San Diego,CA,https://girlsacademyleague.com/aspire-membership/
SoCal Reds FC,Socal Reds,GA Aspire,Irvine,CA,https://girlsacademyleague.com/aspire-membership/
California Football Academy,California Football Academy,GA Aspire,Laguna Hills,CA,https://girlsacademyleague.com/aspire-membership/
Santa Barbara SC,Santa Barbara,GA Aspire,Santa Barbara,CA,https://girlsacademyleague.com/aspire-membership/
Sand and Surf SC,Sand And Surf,GA Aspire,Manhattan Beach,CA,https://girlsacademyleague.com/aspire-membership/
Sting SC,Sting,GA Aspire,Coeur d’Alene,ID,https://girlsacademyleague.com/aspire-membership/
Soccer Chance Academy,Chance Academy,GA Aspire,Portland,OR,https://girlsacademyleague.com/aspire-membership/
Bend FC,Bend,GA Aspire,Bend,OR,https://girlsacademyleague.com/aspire-membership/
Eugene Metro FC,Eugene Metro,GA Aspire,Eugene,OR,https://girlsacademyleague.com/aspire-membership/
Portland City United SC,Portland,GA Aspire,Portland,OR,https://girlsacademyleague.com/aspire-membership/
Mt. Rainier FC,Mt. Rainier,GA Aspire,Buckley,WA,https://girlsacademyleague.com/aspire-membership/
Seattle Reign Academy,Seattle Reign Academy,GA Aspire,Seattle,WA,https://girlsacademyleague.com/aspire-membership/
Spokane Shadow,Spokane Shadow,GA Aspire,Spokane,WA,https://girlsacademyleague.com/aspire-membership/
Washington East Surf- Columbia Basin,Washington East Surf- Columbia Basin,GA Aspire,Pasco,WA,https://girlsacademyleague.com/aspire-membership/
Washington East Surf SC,Washington East Surf,GA Aspire,Spokane,WA,https://girlsacademyleague.com/aspire-membership/
Western Washington Surf,Western Washington Surf,GA Aspire,Bellevue,WA,https://girlsacademyleague.com/aspire-membership/
Valor Soccer,Valor,GA Aspire,Maple Valley,WA,https://girlsacademyleague.com/aspire-membership/
Columbia Premier SC,Columbia Premier,GA Aspire,Vancouver,WA,https://girlsacademyleague.com/aspire-membership/
Arizona SC,Arizona,GA Aspire,Gilbert,AZ,https://girlsacademyleague.com/aspire-membership/
SC del Sol,Del Sol,GA Aspire,Phoenix,AZ,https://girlsacademyleague.com/aspire-membership/
Phoenix Premier FC,Phoenix Premier,GA Aspire,Phoenix,AZ,https://girlsacademyleague.com/aspire-membership/
CCV Stars SC,Ccv Stars,GA Aspire,Peoria,AZ,https://girlsacademyleague.com/aspire-membership/
ALBION SC Las Vegas,Albion Las Vegas,GA Aspire,Las Vegas,NV,https://girlsacademyleague.com/aspire-membership/
Black Diamond FC,Black Diamond,GA Aspire,Bountiful,UT,https://girlsacademyleague.com/aspire-membership/
Utah Celtic,Utah Celtic,GA Aspire,Orem,UT,https://girlsacademyleague.com/aspire-membership/
Impact United,Impact,GA Aspire,Salt Lake City,UT,https://girlsacademyleague.com/aspire-membership/
Wasatch SC,Wasatch,GA Aspire,Kaysville,UT,https://girlsacademyleague.com/aspire-membership/
GFI Academy,Gfi Academy,GA Aspire,Houston,TX,https://girlsacademyleague.com/aspire-membership/
Dallas Surf SC,Dallas Surf,GA Aspire,Dallas,TX,https://girlsacademyleague.com/aspire-membership/
HTX – North,Htx – North,GA Aspire,Houston,TX,https://girlsacademyleague.com/aspire-membership/
HTX – South,Htx – South,GA Aspire,Houston,TX,https://girlsacademyleague.com/aspire-membership/
San Antonio City SC,San Antonio,GA Aspire,San Antonio,TX,https://girlsacademyleague.com/aspire-membership/
Capital City SC,Capital,GA Aspire,Austin,TX,https://girlsacademyleague.com/aspire-membership/
Houston Surf,Houston Surf,GA Aspire,Houston,TX,https://girlsacademyleague.com/aspire-membership/
Galaxy SC,Galaxy,GA Aspire,Naperville,IL,https://girlsacademyleague.com/aspire-membership/
Chicago FC United,Chicago,GA Aspire,Glenview,IL,https://girlsacademyleague.com/aspire-membership/
Sockers FC,Sockers,GA Aspire,Palatine,IL,https://girlsacademyleague.com/aspire-membership/
Wheaton United SC,Wheaton,GA Aspire,Wheaton,IL,https://girlsacademyleague.com/aspire-membership/
Michigan Jaguars,Michigan Jaguars,GA Aspire,Novi,MI,https://girlsacademyleague.com/aspire-membership/
Midwest United,Midwest,GA Aspire,Kentwood,MI,https://girlsacademyleague.com/aspire-membership/
Midwest United FC SCOR,Midwest Scor,GA Aspire,Rockford,MI,https://girlsacademyleague.com/aspire-membership/
Mighigan Stars Elite SC,Mighigan Stars Elite,GA Aspire,Washington,MI,https://girlsacademyleague.com/aspire-membership/
Elmbrook United,Elmbrook,GA Aspire,Brookfield,WI,https://girlsacademyleague.com/aspire-membership/
Wisconsin United SC,Wisconsin,GA Aspire,Appleton,WI,https://girlsacademyleague.com/aspire-membership/
North Shore United,North Shore,GA Aspire,Cedarburg,WI,https://girlsacademyleague.com/aspire-membership/
SC Wave,Wave,GA Aspire,Brookfield,WI,https://girlsacademyleague.com/aspire-membership/
Indy Premier SC,Indy Premier,GA Aspire,Noblesville,IN,https://girlsacademyleague.com/aspire-membership/
Javanon FC,Javanon,GA Aspire,Louisville,KY,https://girlsacademyleague.com/aspire-membership/
Kings Hammer SC NKY,Kings Hammer Nky,GA Aspire,Cincinnatti,OH,https://girlsacademyleague.com/aspire-membership/
Cincinnatti United BLACK,Cincinnatti Black,GA Aspire,Cincinnatti,OH,https://girlsacademyleague.com/aspire-membership/
Club Ohio,Ohio,GA Aspire,Dublin,OH,https://girlsacademyleague.com/aspire-membership/
Kings Hammer SC TN,Kings Hammer Tn,GA Aspire,Nashville,TN,https://girlsacademyleague.com/aspire-membership/
Carolina Core,Carolina Core,GA Aspire,High Point,NC,https://girlsacademyleague.com/aspire-membership/
Wake FC,Wake,GA Aspire,Holly Springs,NC,https://girlsacademyleague.com/aspire-membership/
McLean YS,Mclean Ys,GA Aspire,McLean,VA,https://girlsacademyleague.com/aspire-membership/
VA Rush SC,Va Rush,GA Aspire,Virginia Beach,VA,https://girlsacademyleague.com/aspire-membership/
Virginia Revolution SC,Virginia Revolution,GA Aspire,Leesburg,VA,https://girlsacademyleague.com/aspire-membership/
Springfield SYC Soccer,Springfield Syc,GA Aspire,Springfield,VA,https://girlsacademyleague.com/aspire-membership/
Loudoun SC,Loudoun,GA Aspire,Leesburg,VA,https://girlsacademyleague.com/aspire-membership/
FC Richmond,Richmond,GA Aspire,Richmond,VA,https://girlsacademyleague.com/aspire-membership/
Alexandria SA,Alexandria Sa,GA Aspire,Alexandria,VA,https://girlsacademyleague.com/aspire-membership/
The Player Progression Academy,The Player Progression Academy,GA Aspire,Washington,DC,https://girlsacademyleague.com/aspire-membership/
Potomac SA,Potomac Sa,GA Aspire,Germantown,MD,https://girlsacademyleague.com/aspire-membership/
Coppermine SC,Coppermine,GA Aspire,Baltimore,MD,https://girlsacademyleague.com/aspire-membership/
Baltimore Armour,Baltimore Armour,GA Aspire,Ellicott City,MD,https://girlsacademyleague.com/aspire-membership/
Baltimore Celtic SC,Baltimore Celtic,GA Aspire,Baltimore,MD,https://girlsacademyleague.com/aspire-membership/
Keystone FC,Keystone,GA Aspire,Mechanicsburg,PA,https://girlsacademyleague.com/aspire-membership/
Huntingdon Valley AA,Huntingdon Valley Aa,GA Aspire,Huntingdon Valley,PA,https://girlsacademyleague.com/aspire-membership/
LVU Rush,Lvu Rush,GA Aspire,Lehigh Valley,PA,https://girlsacademyleague.com/aspire-membership/
Ginga FC,Ginga,GA Aspire,Woodbridge,CT,https://girlsacademyleague.com/aspire-membership/
NEFC,Nefc,GA Aspire,Mendon,MA,https://girlsacademyleague.com/aspire-membership/
Seacoast United Massachusetts,Seacoast Massachusetts,GA Aspire,Weymouth,MA,https://girlsacademyleague.com/aspire-membership/
IFA,Ifa,GA Aspire,Boston,MA,https://girlsacademyleague.com/aspire-membership/
FC Boston Bolts,Boston Bolts,GA Aspire,Boston,MA,https://girlsacademyleague.com/aspire-membership/
Seacoast United NH,Seacoast Nh,GA Aspire,Hampton,NH,https://girlsacademyleague.com/aspire-membership/
STA,Sta,GA Aspire,Randolph,NJ,https://girlsacademyleague.com/aspire-membership/
NJ Premier,Nj Premier,GA Aspire,Somerset,NJ,https://girlsacademyleague.com/aspire-membership/
The Football Academy,The Football Academy,GA Aspire,Florham Park,NJ,https://girlsacademyleague.com/aspire-membership/
New York SC,New York,GA Aspire,Westchester,NY,https://girlsacademyleague.com/aspire-membership/
Long Island SC,Long Island,GA Aspire,Long Island,NY,https://girlsacademyleague.com/aspire-membership/
Atlantic United,Atlantic,GA Aspire,Stony Brook,NY,https://girlsacademyleague.com/aspire-membership/
Tophat,Tophat,GA Aspire,Atlanta,GA,https://girlsacademyleague.com/aspire-membership/
AFC Lightning,Lightning,GA Aspire,Peachtree City,GA,https://girlsacademyleague.com/aspire-membership/
Georgia Impact SC,Georgia Impact,GA Aspire,Canton,GA,https://girlsacademyleague.com/aspire-membership/
Inter Atlanta FC,Inter Atlanta,GA Aspire,Atlanta,GA,https://girlsacademyleague.com/aspire-membership/
Charlotte Independence Soccer Club North,Charlotte Independence North,GA Aspire,Charlotte,NC,https://girlsacademyleague.com/aspire-membership/
Fox Soccer Academy of the Carolinas,Fox Academy Of The Carolinas,GA Aspire,Charlotte,NC,https://girlsacademyleague.com/aspire-membership/
Lowcountry United SC,Lowcountry,GA Aspire,Charleston,SC,https://girlsacademyleague.com/aspire-membership/
Kansas Rush,Kansas Rush,GA Aspire,Olathe,KS,https://girlsacademyleague.com/aspire-membership/
KC Fusion,Kc Fusion,GA Aspire,Kansas City,KS,https://girlsacademyleague.com/aspire-membership/
Kansas City Legends,Kansas Legends,GA Aspire,Kansas City,KS,https://girlsacademyleague.com/aspire-membership/
Toca FC,Toca,GA Aspire,Olathe,KS,https://girlsacademyleague.com/aspire-membership/
St. Louis Development Academy,St. Louis Development Academy,GA Aspire,St. Louis,MO,https://girlsacademyleague.com/aspire-membership/
Lou Fusz Athletic Gold,Lou Fusz Athletic Gold,GA Aspire,St. Louis,MO,https://girlsacademyleague.com/aspire-membership/
Union KC SC,Union Kc,GA Aspire,Kansas City,MO,https://girlsacademyleague.com/aspire-membership/
Lou Fusz Athletic White,Lou Fusz Athletic White,GA Aspire,St. Louis,MO,https://girlsacademyleague.com/aspire-membership/
Cupertino FC,Cupertino,NorCal Premier Soccer,Cupertino,CA,https://norcalpremier.com/clubs/
Davis Legacy Soccer Club,Davis Legacy,NorCal Premier Soccer,Davis,CA,https://norcalpremier.com/clubs/
Black Oaks Youth Soccer Club,Black Oaks,NorCal Premier Soccer,Santa Rosa,CA,https://norcalpremier.com/clubs/
Santa Rosa City SC,Santa Rosa,NorCal Premier Soccer,Santa Rosa,CA,https://norcalpremier.com/clubs/
PAC San Jose,Pac San Jose,NorCal Premier Soccer,SAN JOSE,CA,https://norcalpremier.com/clubs/
